camera_base_pose.position.x=1.1066 camera_base_pose.position.y=-0.285968 camera_base_pose.position.z=-0.41825
camera_base_pose.position.x=1.09669 camera_base_pose.position.y=-0.259153 camera_base_pose.position.z=-0.398843
camera_base_pose.position.x=1.1406 camera_base_pose.position.y=-0.249163 camera_base_pose.position.z=-0.418864
camera_base_pose.position.x=1.14238 camera_base_pose.position.y=-0.26276 camera_base_pose.position.z=-0.426758
camera_base_pose.position.x=1.14027 camera_base_pose.position.y=-0.269286 camera_base_pose.position.z=-0.458679
camera_base_pose.position.x=1.17561 camera_base_pose.position.y=-0.27852 camera_base_pose.position.z=-0.447346
camera_base_pose.position.x=1.19117 camera_base_pose.position.y=-0.242888 camera_base_pose.position.z=-0.419342
camera_base_pose.position.x=1.22208 camera_base_pose.position.y=-0.271024 camera_base_pose.position.z=-0.454303
camera_base_pose.position.x=1.22917 camera_base_pose.position.y=-0.275436 camera_base_pose.position.z=-0.441977
camera_base_pose.position.x=1.26258 camera_base_pose.position.y=-0.307322 camera_base_pose.position.z=-0.491333
camera_base_pose.position.x=1.28052 camera_base_pose.position.y=-0.292373 camera_base_pose.position.z=-0.475174
camera_base_pose.position.x=1.27509 camera_base_pose.position.y=-0.304782 camera_base_pose.position.z=-0.463306
camera_base_pose.position.x=1.29711 camera_base_pose.position.y=-0.313365 camera_base_pose.position.z=-0.479715
camera_base_pose.position.x=1.35869 camera_base_pose.position.y=-0.354848 camera_base_pose.position.z=-0.529553
camera_base_pose.position.x=1.36474 camera_base_pose.position.y=-0.340565 camera_base_pose.position.z=-0.52397
camera_base_pose.position.x=1.37724 camera_base_pose.position.y=-0.365832 camera_base_pose.position.z=-0.506903
camera_base_pose.position.x=1.4147 camera_base_pose.position.y=-0.359997 camera_base_pose.position.z=-0.529939
camera_base_pose.position.x=1.40855 camera_base_pose.position.y=-0.36545 camera_base_pose.position.z=-0.533487
camera_base_pose.position.x=1.42677 camera_base_pose.position.y=-0.347257 camera_base_pose.position.z=-0.51177
camera_base_pose.position.x=1.42088 camera_base_pose.position.y=-0.345496 camera_base_pose.position.z=-0.510183
camera_base_pose.position.x=1.45236 camera_base_pose.position.y=-0.352335 camera_base_pose.position.z=-0.503632
camera_base_pose.position.x=1.49318 camera_base_pose.position.y=-0.369958 camera_base_pose.position.z=-0.513081
camera_base_pose.position.x=1.47925 camera_base_pose.position.y=-0.346189 camera_base_pose.position.z=-0.511436
camera_base_pose.position.x=1.50456 camera_base_pose.position.y=-0.343603 camera_base_pose.position.z=-0.51395
camera_base_pose.position.x=1.44865 camera_base_pose.position.y=-0.586307 camera_base_pose.position.z=-0.419625
camera_base_pose.position.x=1.47552 camera_base_pose.position.y=-0.607019 camera_base_pose.position.z=-0.406647
camera_base_pose.position.x=1.48911 camera_base_pose.position.y=-0.57743 camera_base_pose.position.z=-0.426195
camera_base_pose.position.x=1.4973 camera_base_pose.position.y=-0.588913 camera_base_pose.position.z=-0.406339
camera_base_pose.position.x=1.48829 camera_base_pose.position.y=-0.600584 camera_base_pose.position.z=-0.409315
camera_base_pose.position.x=1.50501 camera_base_pose.position.y=-0.585306 camera_base_pose.position.z=-0.405709
camera_base_pose.position.x=1.53244 camera_base_pose.position.y=-0.596569 camera_base_pose.position.z=-0.413177
camera_base_pose.position.x=1.57291 camera_base_pose.position.y=-0.44975 camera_base_pose.position.z=-0.434548
camera_base_pose.position.x=1.59971 camera_base_pose.position.y=-0.450109 camera_base_pose.position.z=-0.428705
camera_base_pose.position.x=1.62573 camera_base_pose.position.y=-0.472478 camera_base_pose.position.z=-0.45088
camera_base_pose.position.x=1.63469 camera_base_pose.position.y=-0.452767 camera_base_pose.position.z=-0.4289
camera_base_pose.position.x=1.64425 camera_base_pose.position.y=-0.44345 camera_base_pose.position.z=-0.44603
