MC_point[4][0]=0.377691, MC_point[4][1]=0.361652, MC_point[4][2]=4.743             Est_LM_camera[4][0]=0.644188, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.13617
MC_point[3][0]=-1.18779, MC_point[3][1]=0.335187, MC_point[3][2]=2.707             Est_LM_camera[3][0]=-1.14582, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.45197
MC_point[4][0]=0.359525, MC_point[4][1]=0.368832, MC_point[4][2]=4.707             Est_LM_camera[4][0]=0.647401, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.10538
MC_point[3][0]=-1.20978, MC_point[3][1]=0.339585, MC_point[3][2]=2.707             Est_LM_camera[3][0]=-1.14423, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.42292
MC_point[4][0]=0.351875, MC_point[4][1]=0.37648, MC_point[4][2]=4.707             Est_LM_camera[4][0]=0.651301, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.07985
MC_point[3][0]=-1.20717, MC_point[3][1]=0.343415, MC_point[3][2]=2.672             Est_LM_camera[3][0]=-1.14226, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.39945
MC_point[4][0]=0.349184, MC_point[4][1]=0.375895, MC_point[4][2]=4.671             Est_LM_camera[4][0]=0.655249, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.05848
MC_point[3][0]=-1.20421, MC_point[3][1]=0.338562, MC_point[3][2]=2.637             Est_LM_camera[3][0]=-1.14025, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.38015
MC_point[4][0]=0.344226, MC_point[4][1]=0.368832, MC_point[4][2]=4.707             Est_LM_camera[4][0]=0.661241, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.03319
MC_point[3][0]=-1.20519, MC_point[3][1]=0.337918, MC_point[3][2]=2.593             Est_LM_camera[3][0]=-1.13718, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.35799
MC_point[3][0]=-1.21374, MC_point[3][1]=0.341416, MC_point[3][2]=2.549             Est_LM_camera[3][0]=-1.13419, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.33718
MC_point[4][0]=0.319074, MC_point[4][1]=0.374189, MC_point[4][2]=4.566             Est_LM_camera[4][0]=0.667171, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=4.00922
MC_point[4][0]=0.311654, MC_point[4][1]=0.381608, MC_point[4][2]=4.566             Est_LM_camera[4][0]=0.671292, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.98431
MC_point[3][0]=-1.21606, MC_point[3][1]=0.341075, MC_point[3][2]=2.528             Est_LM_camera[3][0]=-1.13227, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.31464
MC_point[4][0]=0.301968, MC_point[4][1]=0.358909, MC_point[4][2]=4.532             Est_LM_camera[4][0]=0.678105, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.96485
MC_point[3][0]=-1.23171, MC_point[3][1]=0.33273, MC_point[3][2]=2.518             Est_LM_camera[3][0]=-1.12882, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.29882
MC_point[4][0]=0.287238, MC_point[4][1]=0.358909, MC_point[4][2]=4.532             Est_LM_camera[4][0]=0.684709, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.94143
MC_point[3][0]=-1.23082, MC_point[3][1]=0.332067, MC_point[3][2]=2.467             Est_LM_camera[3][0]=-1.12561, Est_LM_camera[3][1]=-0.28, Est_LM_camera[3][2]=2.2791
MC_point[4][0]=0.275797, MC_point[4][1]=0.365307, MC_point[4][2]=4.466             Est_LM_camera[4][0]=0.686081, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.91499
MC_point[4][0]=0.270523, MC_point[4][1]=0.36579, MC_point[4][2]=4.499             Est_LM_camera[4][0]=0.692264, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.87738
MC_point[4][0]=0.259409, MC_point[4][1]=0.372044, MC_point[4][2]=4.434             Est_LM_camera[4][0]=0.698651, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.84163
MC_point[4][0]=0.261281, MC_point[4][1]=0.372564, MC_point[4][2]=4.466             Est_LM_camera[4][0]=0.705245, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.8124
MC_point[4][0]=0.250383, MC_point[4][1]=0.385829, MC_point[4][2]=4.402             Est_LM_camera[4][0]=0.711749, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.79316
MC_point[4][0]=0.248563, MC_point[4][1]=0.378104, MC_point[4][2]=4.37             Est_LM_camera[4][0]=0.718191, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.7771
MC_point[4][0]=0.245093, MC_point[4][1]=0.370013, MC_point[4][2]=4.309             Est_LM_camera[4][0]=0.723893, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.75892
MC_point[4][0]=0.241681, MC_point[4][1]=0.362134, MC_point[4][2]=4.249             Est_LM_camera[4][0]=0.728871, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.73251
MC_point[4][0]=0.236732, MC_point[4][1]=0.367624, MC_point[4][2]=4.162             Est_LM_camera[4][0]=0.733362, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.70609
MC_point[4][0]=0.232011, MC_point[4][1]=0.366276, MC_point[4][2]=4.079             Est_LM_camera[4][0]=0.737923, Est_LM_camera[4][1]=-0.28, Est_LM_camera[4][2]=3.67966
