ALLrealsec=15.76 ,realsec=0.289394 ,Est_RobotX=-1.12996,Est_RobotY=-0.170354,Est_RobotTH=0.16896
ALLrealsec=15.8992 ,realsec=0.139235 ,Est_RobotX=-1.03257,Est_RobotY=-0.118854,Est_RobotTH=0.248738
ALLrealsec=15.9969 ,realsec=0.097703 ,Est_RobotX=-0.933684,Est_RobotY=-0.0650937,Est_RobotTH=0.238177
ALLrealsec=16.1088 ,realsec=0.111879 ,Est_RobotX=-0.791242,Est_RobotY=0.0155981,Est_RobotTH=0.263677
ALLrealsec=16.2073 ,realsec=0.098505 ,Est_RobotX=-0.662785,Est_RobotY=0.0905035,Est_RobotTH=0.261721
ALLrealsec=16.3268 ,realsec=0.119517 ,Est_RobotX=-0.533105,Est_RobotY=0.169165,Est_RobotTH=0.288524
ALLrealsec=16.438 ,realsec=0.111181 ,Est_RobotX=-0.415285,Est_RobotY=0.245141,Est_RobotTH=0.30925
ALLrealsec=16.5711 ,realsec=0.133075 ,Est_RobotX=-0.225193,Est_RobotY=0.378002,Est_RobotTH=0.25427
ALLrealsec=16.6859 ,realsec=0.114772 ,Est_RobotX=-0.0572106,Est_RobotY=0.499471,Est_RobotTH=0.295134
ALLrealsec=16.8201 ,realsec=0.134258 ,Est_RobotX=0.133154,Est_RobotY=0.64249,Est_RobotTH=0.233467
ALLrealsec=16.9041 ,realsec=0.083942 ,Est_RobotX=0.337964,Est_RobotY=0.801116,Est_RobotTH=0.254349
ALLrealsec=17.0141 ,realsec=0.110036 ,Est_RobotX=0.517523,Est_RobotY=0.945082,Est_RobotTH=0.205655
ALLrealsec=17.1074 ,realsec=0.093331 ,Est_RobotX=0.678003,Est_RobotY=1.07447,Est_RobotTH=0.195568
ALLrealsec=17.2123 ,realsec=0.104889 ,Est_RobotX=0.823564,Est_RobotY=1.19472,Est_RobotTH=0.193289
ALLrealsec=17.299 ,realsec=0.086688 ,Est_RobotX=0.954398,Est_RobotY=1.29732,Est_RobotTH=0.120418
ALLrealsec=17.4134 ,realsec=0.114362 ,Est_RobotX=1.06933,Est_RobotY=1.38429,Est_RobotTH=0.151789
ALLrealsec=17.5057 ,realsec=0.092352 ,Est_RobotX=1.16603,Est_RobotY=1.44784,Est_RobotTH=0.0779202
ALLrealsec=17.6227 ,realsec=0.116979 ,Est_RobotX=1.23082,Est_RobotY=1.48267,Est_RobotTH=0.152785
ALLrealsec=17.827 ,realsec=0.204283 ,Est_RobotX=1.29509,Est_RobotY=1.51523,Est_RobotTH=0.0472118
ALLrealsec=17.9186 ,realsec=0.091669 ,Est_RobotX=1.26648,Est_RobotY=1.44533,Est_RobotTH=0.164674
ALLrealsec=18.0293 ,realsec=0.110611 ,Est_RobotX=1.26046,Est_RobotY=1.41392,Est_RobotTH=0.196601
ALLrealsec=18.124 ,realsec=0.09475 ,Est_RobotX=1.26351,Est_RobotY=1.39888,Est_RobotTH=0.157944
ALLrealsec=18.2318 ,realsec=0.107763 ,Est_RobotX=1.24341,Est_RobotY=1.35391,Est_RobotTH=0.11534
ALLrealsec=18.3192 ,realsec=0.087452 ,Est_RobotX=1.22467,Est_RobotY=1.31231,Est_RobotTH=0.048547
ALLrealsec=18.4261 ,realsec=0.106906 ,Est_RobotX=1.21746,Est_RobotY=1.29314,Est_RobotTH=0.136061
ALLrealsec=18.5191 ,realsec=0.092977 ,Est_RobotX=1.21142,Est_RobotY=1.27429,Est_RobotTH=0.142874
ALLrealsec=18.632 ,realsec=0.112935 ,Est_RobotX=1.20538,Est_RobotY=1.25512,Est_RobotTH=0.181339
ALLrealsec=18.7205 ,realsec=0.088477 ,Est_RobotX=1.19976,Est_RobotY=1.23629,Est_RobotTH=0.200059
ALLrealsec=18.8372 ,realsec=0.116637 ,Est_RobotX=1.19537,Est_RobotY=1.21776,Est_RobotTH=0.237539
ALLrealsec=18.927 ,realsec=0.089825 ,Est_RobotX=1.19164,Est_RobotY=1.19993,Est_RobotTH=0.253358
ALLrealsec=19.0442 ,realsec=0.117175 ,Est_RobotX=1.18851,Est_RobotY=1.18235,Est_RobotTH=0.290415
ALLrealsec=19.1741 ,realsec=0.129983 ,Est_RobotX=1.18542,Est_RobotY=1.16463,Est_RobotTH=0.344587
ALLrealsec=19.2863 ,realsec=0.112163 ,Est_RobotX=1.18338,Est_RobotY=1.1479,Est_RobotTH=0.373505
ALLrealsec=19.4321 ,realsec=0.14582 ,Est_RobotX=1.18211,Est_RobotY=1.13208,Est_RobotTH=0.403596
ALLrealsec=20.267 ,realsec=0.834869 ,Est_RobotX=1.15213,Est_RobotY=1.04366,Est_RobotTH=0.679705
ALLrealsec=20.3656 ,realsec=0.098594 ,Est_RobotX=1.08023,Est_RobotY=0.696528,Est_RobotTH=1.13914
ALLrealsec=20.5034 ,realsec=0.137843 ,Est_RobotX=1.05052,Est_RobotY=0.570271,Est_RobotTH=1.31364
ALLrealsec=20.5604 ,realsec=0.056936 ,Est_RobotX=1.04127,Est_RobotY=0.528978,Est_RobotTH=1.38642
ALLrealsec=20.6659 ,realsec=0.105552 ,Est_RobotX=1.04077,Est_RobotY=0.518133,Est_RobotTH=1.4172
ALLrealsec=20.7857 ,realsec=0.119734 ,Est_RobotX=1.0441,Est_RobotY=0.528599,Est_RobotTH=1.44225
ALLrealsec=20.88 ,realsec=0.094397 ,Est_RobotX=1.04981,Est_RobotY=0.509336,Est_RobotTH=1.37296
ALLrealsec=20.9965 ,realsec=0.116486 ,Est_RobotX=1.05667,Est_RobotY=0.508831,Est_RobotTH=1.30776
ALLrealsec=21.1345 ,realsec=0.137969 ,Est_RobotX=1.06471,Est_RobotY=0.521721,Est_RobotTH=1.24445
ALLrealsec=21.2498 ,realsec=0.11527 ,Est_RobotX=1.07236,Est_RobotY=0.540134,Est_RobotTH=1.21413
ALLrealsec=21.3646 ,realsec=0.114808 ,Est_RobotX=1.08084,Est_RobotY=0.563229,Est_RobotTH=1.20587
ALLrealsec=21.4971 ,realsec=0.132518 ,Est_RobotX=1.0932,Est_RobotY=0.596302,Est_RobotTH=1.19892
ALLrealsec=21.5944 ,realsec=0.097263 ,Est_RobotX=1.1015,Est_RobotY=0.618737,Est_RobotTH=1.19584
ALLrealsec=21.7103 ,realsec=0.115909 ,Est_RobotX=1.11173,Est_RobotY=0.646628,Est_RobotTH=1.19094
ALLrealsec=21.7921 ,realsec=0.081791 ,Est_RobotX=1.12061,Est_RobotY=0.672301,Est_RobotTH=1.18617
ALLrealsec=21.9028 ,realsec=0.110749 ,Est_RobotX=1.13202,Est_RobotY=0.70419,Est_RobotTH=1.18337
ALLrealsec=21.997 ,realsec=0.09416 ,Est_RobotX=1.14269,Est_RobotY=0.733227,Est_RobotTH=1.18096
ALLrealsec=22.1135 ,realsec=0.116543 ,Est_RobotX=1.15548,Est_RobotY=0.767924,Est_RobotTH=1.17595
ALLrealsec=22.2437 ,realsec=0.130229 ,Est_RobotX=1.14341,Est_RobotY=0.617165,Est_RobotTH=1.42164
ALLrealsec=22.3583 ,realsec=0.114545 ,Est_RobotX=1.14233,Est_RobotY=0.592419,Est_RobotTH=1.4892
ALLrealsec=22.4843 ,realsec=0.125972 ,Est_RobotX=1.14618,Est_RobotY=0.608991,Est_RobotTH=1.50581
ALLrealsec=22.6455 ,realsec=0.161226 ,Est_RobotX=1.15356,Est_RobotY=0.60316,Est_RobotTH=1.46527
ALLrealsec=22.7013 ,realsec=0.05586 ,Est_RobotX=1.15797,Est_RobotY=0.583901,Est_RobotTH=1.44025
ALLrealsec=22.8038 ,realsec=0.102473 ,Est_RobotX=1.16729,Est_RobotY=0.578907,Est_RobotTH=1.39326
ALLrealsec=22.9293 ,realsec=0.125453 ,Est_RobotX=1.17794,Est_RobotY=0.589424,Est_RobotTH=1.36842
ALLrealsec=23.0449 ,realsec=0.115593 ,Est_RobotX=1.18194,Est_RobotY=0.573725,Est_RobotTH=1.43946
ALLrealsec=23.1563 ,realsec=0.111414 ,Est_RobotX=1.1851,Est_RobotY=0.578743,Est_RobotTH=1.50841
ALLrealsec=23.2758 ,realsec=0.119498 ,Est_RobotX=1.19221,Est_RobotY=0.614299,Est_RobotTH=1.5187
ALLrealsec=23.4096 ,realsec=0.133863 ,Est_RobotX=1.19286,Est_RobotY=0.640863,Est_RobotTH=1.51973
ALLrealsec=23.5247 ,realsec=0.115103 ,Est_RobotX=1.19468,Est_RobotY=0.692456,Est_RobotTH=1.55307
