camera_base_pose.position.x=1.84504 camera_base_pose.position.y=0.381811 camera_base_pose.position.z=-0.0983913
camera_base_pose.position.x=1.89918 camera_base_pose.position.y=0.356389 camera_base_pose.position.z=-0.0991111
camera_base_pose.position.x=1.90038 camera_base_pose.position.y=0.358248 camera_base_pose.position.z=-0.1032
camera_base_pose.position.x=1.94703 camera_base_pose.position.y=0.360043 camera_base_pose.position.z=-0.101796
camera_base_pose.position.x=1.98571 camera_base_pose.position.y=0.377766 camera_base_pose.position.z=-0.101365
camera_base_pose.position.x=2.0137 camera_base_pose.position.y=0.345388 camera_base_pose.position.z=-0.102751
camera_base_pose.position.x=1.85901 camera_base_pose.position.y=-1.0112 camera_base_pose.position.z=-0.107433
camera_base_pose.position.x=1.89694 camera_base_pose.position.y=-0.220652 camera_base_pose.position.z=-0.11538
camera_base_pose.position.x=1.94134 camera_base_pose.position.y=-0.664249 camera_base_pose.position.z=-0.111926
camera_base_pose.position.x=1.96861 camera_base_pose.position.y=-0.454665 camera_base_pose.position.z=-0.115369
camera_base_pose.position.x=1.98287 camera_base_pose.position.y=-0.507899 camera_base_pose.position.z=-0.115658
camera_base_pose.position.x=2.01456 camera_base_pose.position.y=-0.522265 camera_base_pose.position.z=-0.120314
camera_base_pose.position.x=2.04712 camera_base_pose.position.y=-0.575393 camera_base_pose.position.z=-0.12077
camera_base_pose.position.x=2.07252 camera_base_pose.position.y=-0.599349 camera_base_pose.position.z=-0.123974
camera_base_pose.position.x=2.10652 camera_base_pose.position.y=-0.637652 camera_base_pose.position.z=-0.125733
camera_base_pose.position.x=2.14853 camera_base_pose.position.y=-0.559037 camera_base_pose.position.z=-0.128061
camera_base_pose.position.x=2.20275 camera_base_pose.position.y=-0.539831 camera_base_pose.position.z=-0.130701
camera_base_pose.position.x=2.19096 camera_base_pose.position.y=-0.582736 camera_base_pose.position.z=-0.132604
camera_base_pose.position.x=2.22994 camera_base_pose.position.y=-0.528504 camera_base_pose.position.z=-0.133151
camera_base_pose.position.x=2.294 camera_base_pose.position.y=-0.534949 camera_base_pose.position.z=-0.130932
camera_base_pose.position.x=2.33326 camera_base_pose.position.y=-0.538423 camera_base_pose.position.z=-0.130559
camera_base_pose.position.x=2.35585 camera_base_pose.position.y=-0.562291 camera_base_pose.position.z=-0.132908
camera_base_pose.position.x=2.38988 camera_base_pose.position.y=-0.554341 camera_base_pose.position.z=-0.134189
camera_base_pose.position.x=2.4175 camera_base_pose.position.y=-0.520887 camera_base_pose.position.z=-0.137007
camera_base_pose.position.x=2.42465 camera_base_pose.position.y=-0.525717 camera_base_pose.position.z=-0.144047
camera_base_pose.position.x=2.45448 camera_base_pose.position.y=-0.549721 camera_base_pose.position.z=-0.145122
camera_base_pose.position.x=2.49665 camera_base_pose.position.y=-0.596368 camera_base_pose.position.z=-0.141294
camera_base_pose.position.x=2.53722 camera_base_pose.position.y=-0.578896 camera_base_pose.position.z=-0.142416
camera_base_pose.position.x=2.55844 camera_base_pose.position.y=-0.530368 camera_base_pose.position.z=-0.145742
camera_base_pose.position.x=2.5824 camera_base_pose.position.y=-0.617661 camera_base_pose.position.z=-0.146564
camera_base_pose.position.x=2.59058 camera_base_pose.position.y=-0.60767 camera_base_pose.position.z=-0.150657
camera_base_pose.position.x=2.63572 camera_base_pose.position.y=-0.562513 camera_base_pose.position.z=-0.149227
camera_base_pose.position.x=2.67049 camera_base_pose.position.y=-0.536233 camera_base_pose.position.z=-0.152305
camera_base_pose.position.x=2.73507 camera_base_pose.position.y=-0.600845 camera_base_pose.position.z=-0.150328
camera_base_pose.position.x=
